5km.time,10km.time,15km.time,20km.time,half.time,25km.time,30km.time,35km.time,40km.time,finish.time
00:34:31,01:11:38,01:46:47,02:23:32,02:31:27,03:04:55,03:43:46,04:24:16,05:06:56,05:23:27
00:31:14,01:03:29,01:38:24,02:15:59,02:25:23,02:56:23,03:37:45,04:21:08,05:06:17,05:24:34
00:32:54,01:09:02,01:46:41,02:30:43,02:42:16,03:19:59,04:14:19,05:09:11,06:09:07,06:31:28
00:30:03,01:01:25,01:32:26,02:04:36,02:11:34,02:37:35,03:10:49,03:44:54,04:22:46,04:38:13
00:32:28,01:03:21,01:35:26,02:08:31,02:16:10,02:50:02,03:30:43,04:10:27,04:52:26,05:08:12
00:21:15,00:42:38,01:03:32,01:24:40,01:29:19,01:45:47,02:06:54,02:28:26,02:49:48,02:58:53
00:32:18,01:04:00,01:33:40,02:05:12,02:12:17,02:38:32,03:14:07,03:50:30,04:28:36,04:41:58
00:28:43,00:59:03,01:28:31,01:59:15,02:06:37,02:34:45,03:15:12,03:56:08,04:34:35,04:50:41
00:30:39,01:02:17,01:34:14,02:14:11,02:22:52,02:53:58,03:32:54,04:10:04,04:46:21,05:01:32
00:26:29,00:53:46,01:20:57,01:48:36,01:54:47,02:16:42,02:46:42,03:17:55,03:49:21,04:02:08
00:25:27,00:50:59,01:15:28,01:39:46,01:45:05,02:04:33,02:31:10,03:01:11,03:29:03,03:41:51
00:29:25,00:58:39,01:27:11,01:54:39,02:00:39,02:22:53,02:51:30,03:19:56,03:47:39,03:59:01
00:30:24,01:02:54,01:35:08,02:08:43,02:16:36,02:44:44,03:22:40,04:04:13,04:47:13,05:03:07
00:34:35,01:10:36,01:47:24,02:24:21,02:32:39,03:02:50,03:43:30,04:30:14,05:22:23,05:42:04
00:30:00,00:57:53,01:25:44,01:53:49,02:00:00,02:21:53,02:50:34,03:20:05,03:50:51,04:03:55
00:27:13,00:57:11,01:26:12,01:55:34,02:01:31,02:30:42,03:10:45,03:52:57,04:35:49,04:51:07
00:31:39,01:04:46,01:39:00,02:14:32,02:22:44,02:52:15,03:31:31,04:13:30,04:54:33,05:10:41
00:29:13,00:58:37,01:27:57,01:57:47,02:04:22,02:27:48,02:58:54,03:30:04,04:02:09,04:15:46
00:26:27,00:53:13,01:19:51,01:47:26,01:53:35,02:16:27,02:47:27,03:19:38,03:51:21,04:04:10
00:33:36,01:07:03,01:40:42,02:14:47,02:22:52,02:50:36,03:31:27,04:15:19,05:01:44,05:19:51
00:27:07,00:53:58,01:20:41,01:47:33,01:53:44,02:15:31,02:48:50,03:21:32,03:56:26,04:08:59
00:20:24,00:40:49,01:01:10,01:21:50,01:26:08,01:42:29,02:03:23,02:24:19,02:45:35,02:54:21
00:33:42,01:10:30,01:47:22,02:26:19,02:34:45,03:07:39,03:51:04,04:35:15,05:18:58,05:36:28
00:40:02,01:22:42,02:03:27,02:52:22,03:03:27,03:43:20,04:40:30,05:32:34,06:24:24,06:47:15
00:28:14,00:57:19,01:26:55,01:56:47,02:03:37,02:27:30,03:00:17,03:32:29,04:04:46,04:17:37
00:30:00,01:01:25,01:30:54,02:01:28,02:10:45,02:39:53,03:17:33,03:56:44,04:34:42,04:50:43
00:23:46,00:48:12,01:11:00,01:34:32,01:39:46,02:00:20,02:26:38,02:52:38,03:18:01,03:28:27
00:29:18,00:57:27,01:24:51,01:52:16,01:58:12,02:19:37,02:50:04,03:24:28,04:00:24,04:16:36
00:23:11,00:47:01,01:10:31,01:34:04,01:39:10,01:58:37,02:24:57,02:53:26,03:22:27,03:33:59
00:27:25,00:53:49,01:20:37,01:47:07,01:52:50,02:13:28,02:41:07,03:10:41,03:42:43,03:56:38
00:33:05,01:05:52,01:38:26,02:10:35,02:18:20,02:43:53,03:16:50,03:51:01,04:26:16,04:40:35
00:23:02,00:47:39,01:12:24,01:37:54,01:43:31,02:04:12,02:33:02,03:03:34,03:38:12,03:52:12
00:38:35,01:23:52,02:16:02,03:09:40,03:21:56,03:59:34,04:58:21,05:51:31,06:48:51,07:15:38
00:30:56,01:05:03,01:39:56,02:16:54,02:25:27,02:56:56,03:36:49,04:27:31,05:11:07,05:28:13
00:25:22,00:50:55,01:16:40,01:42:24,01:48:02,02:08:36,02:36:20,03:07:20,03:42:14,03:57:40
00:35:54,01:13:46,01:51:35,02:31:36,02:40:51,03:13:07,03:59:14,04:44:11,05:30:57,05:49:01
00:33:49,01:10:32,01:46:19,02:23:27,02:31:58,03:03:49,03:44:34,04:42:31,05:28:56,05:47:16
00:35:57,01:13:10,01:50:17,02:28:14,02:36:47,03:07:04,03:47:55,04:30:00,05:14:35,05:34:21
00:32:26,01:07:28,01:40:53,02:16:31,02:25:11,02:55:33,03:36:46,04:23:07,05:09:51,05:30:45
00:27:13,00:55:46,01:27:13,02:05:40,02:14:15,02:47:23,03:26:48,04:05:20,04:45:33,05:01:30
00:24:28,00:49:51,01:15:17,01:41:16,01:47:04,02:07:28,02:34:22,03:03:41,03:35:55,03:50:06
00:31:56,01:02:55,01:34:31,02:05:24,02:12:32,02:38:29,03:15:38,03:53:19,04:32:23,04:47:19
00:20:21,00:40:57,01:01:25,01:22:42,01:27:23,01:44:44,02:07:18,02:31:43,02:59:16,03:10:31
00:31:40,01:04:17,01:37:14,02:11:00,02:18:29,02:47:55,03:24:24,04:03:11,04:49:16,05:14:52
